time,latitude,longitude,elevation,distance,heart_rate
2025-07-27 12:35:21,37.794481,-122.394033,6.2,0.0,116
2025-07-27 12:35:22,37.794512,-122.394049,6.0,1.4,116
2025-07-27 12:35:23,37.794526,-122.394061,6.0,2.8,116
2025-07-27 12:35:24,37.794539,-122.394074,6.4,4.1,116
2025-07-27 12:35:25,37.794552,-122.394086,6.4,5.5,116
2025-07-27 12:35:26,37.794581,-122.394114,6.6,8.3,116
2025-07-27 12:35:27,37.79459,-122.394121,5.8,11.1,116
2025-07-27 12:35:28,37.794618,-122.39414,5.4,12.7,116
2025-07-27 12:35:29,37.794629,-122.394148,5.0,14.3,116
2025-07-27 12:35:30,37.794641,-122.394156,4.6,15.9,116
2025-07-27 12:35:33,37.794641,-122.394156,4.6,21.6,116
2025-07-27 12:35:35,37.794641,-122.394156,4.6,27.0,116
2025-07-27 12:35:36,37.794716,-122.394173,4.6,28.3,116
2025-07-27 12:35:38,37.794791,-122.39419,5.0,29.5,116
2025-07-27 12:35:39,37.794865,-122.394208,5.0,30.8,120
2025-07-27 12:35:40,37.79494,-122.394225,4.8,32.0,120
2025-07-27 12:35:41,37.794961,-122.394242,4.8,32.0,120
2025-07-27 12:35:42,37.794979,-122.394254,4.8,32.0,120
2025-07-27 12:35:43,37.794995,-122.394271,4.8,35.9,120
2025-07-27 12:35:44,37.795013,-122.394298,4.6,38.6,120
2025-07-27 12:35:45,37.79502,-122.394303,4.2,41.2,122
2025-07-27 12:35:46,37.795037,-122.394337,4.2,43.1,122
2025-07-27 12:35:47,37.795045,-122.394351,4.4,44.9,119
2025-07-27 12:35:48,37.795054,-122.394365,4.4,46.8,119
2025-07-27 12:35:49,37.795076,-122.394387,4.2,48.4,119
2025-07-27 12:35:50,37.795085,-122.394394,4.2,50.0,119
2025-07-27 12:35:51,37.795095,-122.3944,4.4,51.6,119
2025-07-27 12:35:52,37.795106,-122.394412,4.4,51.6,119
2025-07-27 12:35:53,37.795118,-122.394423,4.4,55.5,119
2025-07-27 12:35:54,37.795136,-122.394445,4.4,57.0,119
2025-07-27 12:35:55,37.795143,-122.394456,4.4,58.5,119
2025-07-27 12:35:56,37.795151,-122.394466,4.4,60.0,119
2025-07-27 12:35:57,37.795115,-122.39456,4.6,60.0,119
2025-07-27 12:35:58,37.795133,-122.39458,4.6,63.5,130
